Panel,Antibiotic,Group,value,cultures,values,n,geomean,lo,hi,min,max
Supplementary Figure 4b-d,Cefepime,ATEC,MIC,"3,5,6,1,2,4",0.2948339207778049;0.33273546916796587;0.5129940283335953;0.14444964538063826;0.15747444774532265;0.19197324624025236,6,0.24565523477008128,0.1466566053940045,0.4114815981715802,0.14444964538063826,0.5129940283335953
Supplementary Figure 4b-d,Cefepime,ATEC-C,IC50,"1,2,4,5,6,3",0.0317567706451884;0.03175635086708468;0.02905803142143779;0.03344668060686372;0.03929421937924871;0.050959278723463515,6,0.03538395268889473,0.028545323084163188,0.043860919149468575,0.029058031421437782,0.05095927872346351
Supplementary Figure 4b-d,Cefepime,ATEC-C,MIC,"1,2,4,5,6,3",0.22336462661652992;0.23803163347773412;0.21640223642240047;0.2948679969303604;0.3818292694491534;0.14756585887887058,6,0.24001161582017236,0.17163401364796355,0.33563030138515615,0.14756585887887058,0.3818292694491534
Supplementary Figure 4b-d,Cefepime,ATEC-C-r,IC50,1,0.7249744345058954,1,0.7249744345058954,,,0.7249744345058954,0.7249744345058954
Supplementary Figure 4b-d,Cefepime,ATEC-C-r,MIC,1,24.172660092355827,1,24.172660092355827,,,24.172660092355827,24.172660092355827
Supplementary Figure 6a-c,Levofloxacin,P,IC50,"1,2,3,4",0.02545361311213176;0.02748392010423085;0.023339999975146013;0.022791390587793378,4,0.024698748496561035,0.021553496187222163,0.028302980268139828,0.02279139058779338,0.027483920104230845
Supplementary Figure 6a-c,Levofloxacin,P,MIC,"1,2,3,4",0.06719275508112427;0.09520572183377206;0.07948551717003531;0.07112462066244545,4,0.07754849370986454,0.06074022583394295,0.0990080098337118,0.06719275508112428,0.09520572183377204
Supplementary Figure 6a-c,Levofloxacin,P-unt,IC50,"1,2,3,4",0.03184902494104162;0.03208040373919596;0.027587675398065708;0.029599653936205297,4,0.030222781181963955,0.027000349808067054,0.03382980253463115,0.02758767539806571,0.03208040373919597
Supplementary Figure 6a-c,Levofloxacin,P-unt,MIC,"1,2,3,4",0.12899934378391428;0.11568137816103727;0.08135738205974956;0.07712346104483572,4,0.09836907958518586,0.06556353284969817,0.14758929846900667,0.07712346104483571,0.1289993437839143
Supplementary Figure 6a-c,Amikacin,P,IC50,"1,2,3,4",4.273277863257964;3.344435130197907;3.2369134616348885;3.087204461151498,4,3.4569659181567536,2.744261702889525,4.354764469698413,3.087204461151498,4.273277863257964
Supplementary Figure 6a-c,Amikacin,P,MIC,"1,2,3,4",61.155178577600886;66.55587926411597;45.58070538564919;55.537761190798975,4,56.65617731547618,43.72825671476816,73.40613756776186,45.580705385649196,66.55587926411597
Supplementary Figure 6a-c,Amikacin,P-unt,IC50,"1,2,3,4",3.0131366082409103;2.044094170565018;2.7890119534128455;2.1190109632991594,4,2.4562684236652848,1.8025582684436385,3.3470510633225548,2.044094170565018,3.0131366082409103
Supplementary Figure 6a-c,Amikacin,P-unt,MIC,"1,2,3,4",30.112470381280033;16.477059296434682;26.604478677553942;16.681345340425693,4,21.662220850756086,13.165128387291206,35.643542423780545,16.477059296434682,30.112470381280037
Supplementary Figure 6a-c,Cefepime,P,IC50,"1,2,3,4",0.041482911795814016;0.03599228086575682;0.04021867703860345;0.03747341792431881,4,0.0387308851493465,0.034935884268593655,0.042938127826362166,0.03599228086575683,0.041482911795814016
Supplementary Figure 6a-c,Cefepime,P,MIC,"1,2,3,4",0.18353424417313163;0.1446098636327137;0.20140156376070031;0.13797934554071362,4,0.16479650076553556,0.12316664092202656,0.22049709613951463,0.1379793455407136,0.20140156376070031
Supplementary Figure 6a-c,Cefepime,P-unt,IC50,"1,2,3,4",0.029027870069454675;0.022179374552974276;0.023138131305961967;0.031672526833119885,4,0.026208602553138886,0.019904773438356862,0.034508850347663184,0.02217937455297427,0.031672526833119885
